map,vaccine,pregnant,age,lengthOfStay,text,mainTextID
7,YF1,FALSE,adult,null,"Gelbfieber kommt in Ihrem Reisegebiet vor. Es ist ein Virus, welches von Mücken übertragen wird und bei 20-60% der Betroffenen zum Tode führt. Das Risiko einer Erkrankung wird auf 1 von Tausend  
Desweiteren wird der Nachweis einer Impfung auch oftmals bei der Einreise verlangt, wenn Sie aus einem Gelbfieberendemiegebiet in das Land einreisen. Dies gilt allerdings meistens nicht, wenn Sie dort weniger als 12 Stunden wegen Umsteigens auf dem Flughafen aufgehalten haben. 
Es handelt sich bei der Impfung um eine Lebendimpfung. Sie sollte mindestens 10 Tage vor der Abreise erfolgen. Der Impfschutz hält wahrscheinlich ein Leben lang. In Deutschland wird derzeit dennoch eine Auffrischimpfung nach 10 Jahren empfohlen. Menschen mit geschwächtem Immunsystem oder solche mit Hühnereiweißallergie dürfen nicht geimpft werden.",null
7,YF2,FALSE,adult,null,"Gelbfieber kann in Ihrem Reisegebiet vorkommen. Es ist ein Virus, welches von Mücken übertragen wird und bei 20-60% der Betroffenen zum Tode führt. Das Risiko einer Erkrankung ist jedoch je nach der bereisten Gegend sehr unterschiedlich. Wenn Sie in ein auf der Karte rot markierte Gegend reisen, sollten Sie sich unbedingt impfen lassen - hier kann das Erkrankungsrisiko bis 1/1000 pro Monat hoch sein. Ansonsten ist eine Impfung nicht unbedingt notwendig.  
Desweiteren wird der Nachweis einer Impfung auch oftmals bei der Einreise verlangt, wenn Sie aus einem Gelbfieberendemiegebiet in das Land einreisen. Dies gilt allerdings meistens nicht, wenn Sie dort weniger als 12 Stunden wegen Umsteigens auf dem Flughafen aufgehalten haben. 
Es handelt sich bei der Impfung um eine Lebendimpfung. Sie sollte mindestens 10 Tage vor der Abreise erfolgen. Der Impfschutz hält wahrscheinlich ein Leben lang. In Deutschland wird derzeit dennoch eine Auffrischimpfung nach 10 Jahren empfohlen. Menschen mit geschwächtem Immunsystem oder solche mit Hühnereiweißallergie dürfen nicht geimpft werden.  Eine sorgfältige Nutzen-Risiko-Abwägung muss bei Schwangeren, Stillenden, Säuglingen (6-9 Monate), sowie Menschen über 60 erfolgen. ",null
7,YF3,FALSE,adult,null,"Gelbfieber kann in Ihrem Reisegebiet vorkommen. Es ist ein Virus, welches von Mücken übertragen wird und bei 20-60% der Betroffenen zum Tode führt. Das Risiko einer Erkrankung ist jedoch gering, so dass eine Impfung zum Eigenschutz nicht unbedingt notwendig ist - und vor allem, wenn schwerwiegende Vorerkrankungen oder hohes Alter oder sonstige Impfrisiken bestehen, nicht durchgeführt werden sollte.  
Allerdings wird der Nachweis einer Impfung auch oftmals bei der Einreise verlangt, wenn Sie aus einem Gelbfieberendemiegebiet in das Land einreisen. Dies gilt allerdings meistens nicht, wenn Sie dort weniger als 12 Stunden wegen Umsteigens auf dem Flughafen aufgehalten haben. 
Wenn Sie jedoch auch nach Sansibar reisen wollen, werden Sie höchstwahrscheinlich die Impfung bei der dortigen Einreise nachweisen müssen.
 
Es handelt sich bei der Impfung um eine Lebendimpfung. Sie sollte mindestens 10 Tage vor der Abreise erfolgen. Der Impfschutz hält wahrscheinlich ein Leben lang. In Deutschland wird derzeit dennoch eine Auffrischimpfung nach 10 Jahren empfohlen. Menschen mit geschwächtem Immunsystem oder solche mit Hühnereiweißallergie dürfen nicht geimpft werden.  Eine sorgfältige Nutzen-Risiko-Abwägung muss bei Schwangeren, Stillenden, Säuglingen (6-9 Monate), sowie Menschen über 60 erfolgen. ",null
8,YF4,FALSE,adult,null,"Gelbfieber kann in Ihrem Reisegebiet vorkommen. Es ist ein Virus, welches von Mücken übertragen wird und bei 20-60% der Betroffenen zum Tode führt. Das Risiko einer Erkrankung wird auf bis zu 1 von Zehntausend pro Reisemonat geschätzt. In einigen Gegenden kommt es aber auch nicht oder kaum vor (siehe Karte).
Wenn Sie in eines der roten Gebiete reisen, dann sollten Sie sich unbedingt zu Ihrem eigenen Schutz impfen lassen.
Desweiteren wird der Nachweis einer Impfung auch oftmals bei der Einreise verlangt, wenn Sie aus einem Gelbfieberendemiegebiet in das Land einreisen. Dies gilt allerdings meistens nicht, wenn Sie dort weniger als 12 Stunden wegen Umsteigens auf dem Flughafen aufgehalten haben. 
Es handelt sich bei der Impfung um eine Lebendimpfung. Sie sollte mindestens 10 Tage vor der Abreise erfolgen. Der Impfschutz hält wahrscheinlich ein Leben lang. In Deutschland wird derzeit dennoch eine Auffrischimpfung nach 10 Jahren empfohlen. Menschen mit geschwächtem Immunsystem oder solche mit Hühnereiweißallergie dürfen nicht geimpft werden.  Eine sorgfältige Nutzen-Risiko-Abwägung muss bei Schwangeren, Stillenden, Säuglingen (6-9 Monate), sowie Menschen über 60 erfolgen. ",null
7,YF1,FALSE,senior,null,"Gelbfieber kommt in Ihrem Reisegebiet vor. Es ist ein Virus, welches von Mücken übertragen wird und bei 20-60% der Betroffenen zum Tode führt. Das Risiko einer Erkrankung wird auf 1 von Tausend pro Reisemonat geschätzt. Sie sollten sich also unbedingt zu Ihrem eigenen Schutz impfen lassen.
Desweiteren wird der Nachweis einer Impfung auch oftmals bei der Einreise verlangt, wenn Sie aus einem Gelbfieberendemiegebiet in das Land einreisen. Dies gilt allerdings meistens nicht, wenn Sie dort weniger als 12 Stunden wegen Umsteigens auf dem Flughafen aufgehalten haben. 
Es handelt sich bei der Impfung um eine Lebendimpfung. Sie sollte mindestens 10 Tage vor der Abreise erfolgen. Der Impfschutz hält wahrscheinlich ein Leben lang. In Deutschland wird derzeit dennoch eine Auffrischimpfung nach 10 Jahren empfohlen. Menschen mit geschwächtem Immunsystem oder solche mit Hühnereiweißallergie dürfen nicht geimpft werden.  
Da seltene, aber schwerwiegende Nebenwirkungen, teilweise mit Todesfolge, häufiger bei Menschen vorkommen, die im Alter von >60 Jahren erstmalig geimpft werden, besteht hier eine sogenannte relative Kontraindikation. Da Sie in ein Gebiet mit hohem Infektionsrisiko reisen sollten Sie sich dennoch impfen lassen. Wenn Sie Erkrankungen haben (zB. Herz-, Nieren-, Leberschwäche oder andere) sollten Sie sich unbedingt persönlich beraten lassen. ",null
7,YF2,FALSE,senior,null,"Gelbfieber kann in Ihrem Reisegebiet vorkommen. Es ist ein Virus, welches von Mücken übertragen wird und bei 20-60% der Betroffenen zum Tode führt. Das Risiko einer Erkrankung ist jedoch je nach der bereisten Gegend sehr unterschiedlich. Wenn Sie in ein auf der Karte rot markierte Gegend reisen, sollten Sie sich unbedingt impfen lassen - hier kann das Erkrankungsrisiko bis 1/1000 pro Monat hoch sein. Ansonsten ist eine Impfung nicht unbedingt notwendig.  
Desweiteren wird der Nachweis einer Impfung auch oftmals bei der Einreise verlangt, wenn Sie aus einem Gelbfieberendemiegebiet in das Land einreisen. Dies gilt allerdings meistens nicht, wenn Sie dort weniger als 12 Stunden wegen Umsteigens auf dem Flughafen aufgehalten haben. 
Es handelt sich bei der Impfung um eine Lebendimpfung. Sie sollte mindestens 10 Tage vor der Abreise erfolgen. Der Impfschutz hält wahrscheinlich ein Leben lang. In Deutschland wird derzeit dennoch eine Auffrischimpfung nach 10 Jahren empfohlen. Menschen mit geschwächtem Immunsystem oder solche mit Hühnereiweißallergie dürfen nicht geimpft werden.  
Da seltene, aber schwerwiegende Nebenwirkungen, teilweise mit Todesfolge, häufiger bei Menschen vorkommen, die im Alter von >60 Jahren erstmalig geimpft werden, besteht hier eine sogenannte relative Kontraindikation. Wenn Sie in ein Gebiet mit niedrigem Infektionsrisiko reisen, ist eine Impfung nicht unbedingt ratsam. Sie sollten sich persönlich beraten lassen. Wenn Sie jedoch in ein Gebiet mit hohem Infektionsrisiko reisen, sollten Sie sich impfen lassen. Dies gilt aus administrativen Gründen, auch wenn Sie Landesgrenzen überqueren. Wenn Sie Erkrankungen haben (zB Herz-, Nieren-, Leberschwäche oder andere) sollten Sie sich unbedingt persönlich beraten lassen. ",null
7,YF3,FALSE,senior,null,"Gelbfieber kann in Ihrem Reisegebiet vorkommen. Es ist ein Virus, welches von Mücken übertragen wird und bei 20-60% der Betroffenen zum Tode führt. Das Risiko einer Erkrankung ist jedoch gering, so dass eine Impfung zum Eigenschutz nicht unbedingt notwendig ist - und vor allem, wenn schwerwiegende Vorerkrankungen oder hohes Alter oder sonstige Impfrisiken bestehen, nicht durchgeführt werden sollte.  
Allerdings wird der Nachweis einer Impfung auch oftmals bei der Einreise verlangt, wenn Sie aus einem Gelbfieberendemiegebiet in das Land einreisen. Dies gilt allerdings meistens nicht, wenn Sie dort weniger als 12 Stunden wegen Umsteigens auf dem Flughafen aufgehalten haben. 
Wenn Sie jedoch auch nach Sansibar reisen wollen werden Sie höchstwahrscheinlich die Impfung bei der dortigen Einreise nachweisen müssen.
Es handelt sich bei der Impfung um eine Lebendimpfung. Sie sollte mindestens 10 Tage vor der Abreise erfolgen. Der Impfschutz hält wahrscheinlich ein Leben lang. In Deutschland wird derzeit dennoch eine Auffrischimpfung nach 10 Jahren empfohlen. Menschen mit geschwächtem Immunsystem oder solche mit Hühnereiweißallergie dürfen nicht geimpft werden.  
Da seltene, aber schwerwiegende Nebenwirkungen, teilweise mit Todesfolge, häufiger bei Menschen vorkommen, die im Alter von >60 Jahren erstmalig geimpft werden, besteht hier eine sogenannte relative Kontraindikation. Da Sie in ein Gebiet mit sehr niedrigem Infektionsrisiko reisen, ist eine Impfung nicht wirklich notwendig. Wenn Sie ansonsten gesund sind und Sie nach Sansibar wollen, sollten Sie sich impfen lassen. ",null
8,YF4,FALSE,senior,null,"Gelbfieber kann in Ihrem Reisegebiet vorkommen. Es ist ein Virus, welches von Mücken übertragen wird und bei 20-60% der Betroffenen zum Tode führt. Das Risiko einer Erkrankung wird auf bis zu 1 von Zehntausend pro Reisemonat geschätzt. In einigen Gegenden kommt es aber auch nicht oder kaum vor (siehe Karte).
Wenn Sie in eines der roten Gebiete reisen, dann sollten Sie sich unbedingt zu Ihrem eigenen Schutz impfen lassen.
Desweiteren wird der Nachweis einer Impfung auch oftmals bei der Einreise verlangt, wenn Sie aus einem Gelbfieberendemiegebiet in das Land einreisen. Dies gilt allerdings meistens nicht, wenn Sie dort weniger als 12 Stunden wegen Umsteigens auf dem Flughafen aufgehalten haben. 
Es handelt sich bei der Impfung um eine Lebendimpfung. Sie sollte mindestens 10 Tage vor der Abreise erfolgen. Der Impfschutz hält wahrscheinlich ein Leben lang. In Deutschland wird derzeit dennoch eine Auffrischimpfung nach 10 Jahren empfohlen. Menschen mit geschwächtem Immunsystem oder solche mit Hühnereiweißallergie dürfen nicht geimpft werden.  
Da seltene, aber schwerwiegende Nebenwirkungen, teilweise mit Todesfolge, häufiger bei Menschen vorkommen, die im Alter von >60 Jahren erstmalig geimpft werden, besteht hier eine sogenannte relative Kontraindikation. Wenn Sie in ein Gebiet mit niedrigem Infektionsrisiko reisen, ist eine Impfung nicht unbedingt ratsam. Sie sollten sich persönlich beraten lassen. Wenn Sie jedoch in ein Gebiet mit hohem Infektionsrisiko reisen, sollten Sie sich impfen lassen. Dies gilt aus administrativen Gründen, auch wenn Sie Landesgrenzen überqueren. Wenn Sie Erkrankungen haben (zB Herz-, Nieren-, Leberschwäche oder andere) sollten Sie sich unbedingt persönlich beraten lassen. ",null
7,YF1,FALSE,child,null,"Gelbfieber kommt in Ihrem Reisegebiet vor. Es ist ein Virus, welches von Mücken übertragen wird und bei 20-60% der Betroffenen zum Tode führt. Das Risiko einer Erkrankung wird auf 1 von Tausend pro Reisemonat geschätzt. Sie sollten sich also unbedingt zu Ihrem eigenen Schutz impfen lassen.
Desweiteren wird der Nachweis einer Impfung auch oftmals bei der Einreise verlangt, wenn Sie aus einem Gelbfieberendemiegebiet in das Land einreisen. Dies gilt allerdings meistens nicht, wenn Sie dort weniger als 12 Stunden wegen Umsteigens auf dem Flughafen aufgehalten haben. 
Es handelt sich bei der Impfung um eine Lebendimpfung. Sie sollte mindestens 10 Tage vor der Abreise erfolgen. Der Impfschutz hält wahrscheinlich ein Leben lang. In Deutschland wird derzeit dennoch eine Auffrischimpfung nach 10 Jahren empfohlen. Menschen mit geschwächtem Immunsystem oder solche mit Hühnereiweißallergie dürfen nicht geimpft werden.
Kinder können erst ab einem Alter von frühestens 6 Monaten geimpft werden, obwohl man lieber bis zum 9ten Lebensmonat wartet. Da Sie in ein Gebiet mit hohem Risiko reisen, würde ich die Impfung schon ab dem 6ten Monat empfehlen - wenn die Reise wirklich zum jetzigen Zeitpunkt stattfinden muss. ",null
7,YF2,FALSE,child,null,"Gelbfieber kann in Ihrem Reisegebiet vorkommen. Es ist ein Virus, welches von Mücken übertragen wird und bei 20-60% der Betroffenen zum Tode führt. Das Risiko einer Erkrankung ist jedoch je nach der bereisten Gegend sehr unterschiedlich. Wenn Sie in ein auf der Karte rot markierte Gegend reisen, sollten Sie sich unbedingt impfen lassen - hier kann das Erkrankungsrisiko bis 1/1000 pro Monat hoch sein. Ansonsten ist eine Impfung nicht unbedingt notwendig.  
Desweiteren wird der Nachweis einer Impfung auch oftmals bei der Einreise verlangt, wenn Sie aus einem Gelbfieberendemiegebiet in das Land einreisen. Dies gilt allerdings meistens nicht, wenn Sie dort weniger als 12 Stunden wegen Umsteigens auf dem Flughafen aufgehalten haben. 
Es handelt sich bei der Impfung um eine Lebendimpfung. Sie sollte mindestens 10 Tage vor der Abreise erfolgen. Der Impfschutz hält wahrscheinlich ein Leben lang. In Deutschland wird derzeit dennoch eine Auffrischimpfung nach 10 Jahren empfohlen. Menschen mit geschwächtem Immunsystem oder solche mit Hühnereiweißallergie dürfen nicht geimpft werden.  
Kinder können erst ab einem Alter von frühestens 6 Monaten geimpft werden, obwohl man lieber bis zum 9ten Lebensmonat wartet. Da Sie in ein Gebiet mit eher niedrigem Risiko reisen, würde ich die Impfung ab dem 9ten Monat empfehlen - wenn die Reise wirklich zum jetzigen Zeitpunkt stattfinden muss. Bei jüngeren Kindern muss der Mückenschutz lückenlos sein. ",null
